,news,label
0,There #39;s a remarkable graph on Google #39;s Zeitgeist site showing the meteoric rise of Microsoft Internet Explorer 6 use and equally catastrophic decline of all other competing browsers.,4
1,['Sure # 39; Whatâ_€_™ a remarkable graph on Google # 39; Washingtonâ_€_™ Transgressive_Records www.rrdonnelley.com shows the forgotten_pharaoh rise of Microsoft Internet Explorer 6 childproof_caps and equally devastating decline of all other competing Safari_Chrome.'],4
2,A zoo in the Gulf has bred a bird which is threatened by the fast pace of development in the region.,4
3,['A zoological garden in the Gulf has bred a boo which is threatened by the flying pace of development in the region.'],4
4,A limited edition Gran Turismo bundle in Japan will come with a pair of Nike sneakers and T-shirt. TOKYO--Major running shoe and apparel manufacturer Nike is collaborating with Sony Computer Entertainment ,4
5,['A hamstrung edition Gran Turismo bundle in Tomiyama will emerge Jonathan_Papelbon_Hideki_Okajima a pair of Nike sneakers and T - shirt. TOKYO - - Bill_Hendricks_USMCR Steven_Manfro leather_sandal and tastes_seasonality manufacturer Nike is collaborating withtheir Sony Computers Entertainment'],4
6,Rangers manager Alex McLeish has criticised the punishment handed out to Nacho Novo by the Scottish Football Association. Novo and Celtic striker Henri Camara were both given one-match bans ,2
7,['Texas ranger manager Alex McLeish receive criticize the punishment hand out to Nacho Novo by the Scottish Football Association. Novo and Celtic striker Henri Camara were both given one - peer forbidding'],2
8,"AFP - The Florida Supreme Court has ruled that third-party presidential hopeful Ralph Nader can appear on ballots in the decisive state, increasing the chance the maverick contender will again influence the outcome of the presidential election.",1
9,"['afp - the florida supreme court panel has ruled unanimously that third - party maverick presidential hopeful ralph rogers nader can appear on ballots in the decisive state, increasing in the chance the favored maverick political contender will lose again influence over the exact outcome of the presidential election.']",1
10,"SEOUL North Korea is seriously reconsidering its role in talks on its nuclear programs because of what it sees as a concerted campaign to topple the government in Pyongyang, the North Korean Foreign Ministry said Monday.",1
11,"['seoul says north korea is seriously reconsidering its past role in talks on its latest nuclear programs because speak of continuing what it sees as a concerted us campaign to topple both the government in pyongyang, the north korean federal foreign trade ministry officials said monday.']",1
12,"-- The United States men #39;s basketball team capped off a big day for the USA by fighting off Greece for a vital win, 77-71.  quot;They played with heart, quot; said Coach Larry Brown.  quot;That #39;s all you can ask. quot; ...",2
13,"['s basketball team # 39; s ended a great day for the U.S. by beating Greece for an important victory, 77-71. Quot; They played with heart, quot; said coach Larry Brown. quot; That # 39; s all you can ask. quot;.']",2
14,"An innovation called the CableCard, which slides into a slot on the back of many new TV sets, is meant to eliminate the cable box. So why aren't cable customers hearing more about it?",4
15,"[""An innovation lauded the CableCard, Their slides fore a slot on however back of many new TV satisfies, presently meant to eliminate the Dion_harnessed box. So why aren ' didn_¿ operator_Casema customers hearing information_visit_www.bottomline.com about it?""]",4
16,The leading private and branded food and pet products marketer is spending to revamp its image.,3
17,['The leading marketer of private and branded foods and pet products is spending money to burnish its image.'],3
18,A FOUR-LETTER term that came to symbolise the difference between old and new media tops US dictionary publisher Merriam-Webster #39;s list of the 10 words of the year.,4
19,['A FOUR-LETTER term symbolising the difference between old and new media tops the list of 10 words of the year by US dictionary publisher Merriam-Webster.'],4
20,"Reuters - Apparel retailers are hoping their\back-to-school fashions will make the grade among\style-conscious teens and young adults this fall, but it could\be a tough sell, with students and parents keeping a tighter\hold on their wallets.",3
21,"['Reuters - Bernard_Chaus Shoppers generally hoping all \\ together - to - kindergartner ladylike_chic will make the grade among \\ style - conscious teens and young adults this fall, but it could \\ be a tough sell, had students and parents keeping a tighter \\ tohold Aalborg_Kasper_Risgard their wallets.']",3
22,"For the first time, an international team of astronomers led by Guy Perrin from the Paris Observatory/LESIA, (Meudon, France) and Stephen Ridgway from the National Optical Astronomy Observatory (Tucson, Arizona, USA) has observed the close environment of ",4
