,text,intent
0,add saxophone supremacy to ofelia s calm before the storm playlist,AddToPlaylist
1,['Add saxophone superiority to the calm before the storm'],AddToPlaylist
2,add the artist pete murray to my relaxing playlist,AddToPlaylist
3,['bring the artist pete james augustus henry murray to my loosen up playlist'],AddToPlaylist
4,add abacab to beryl s party on fridays playlist,AddToPlaylist
5,['add abacab to beryl sâ_€ DMK_AIADMK on fridays Smart_Playlists'],AddToPlaylist
6,book a reservation for can fabes nearby namibia,BookRestaurant
7,['Wordy_Shipmates a SC_STs for reproduce_retransmit_distribute fabes nearby namibia'],BookRestaurant
8,how to buy picture of agent hamilton: but not if it concerns your daughter,SearchCreativeWork
9,['how to bribe picture of agent hamilton: but non if it concerns your girl'],SearchCreativeWork
10,what is the movie schedule for animated movies in the area,SearchScreeningEvent
11,['What is the schedule for animated films in the region?'],SearchScreeningEvent
12,get me a reservation for two at a restaurant which serves burger,BookRestaurant
13,['stick maine a qualification for two at a restaurant which serves burger'],BookRestaurant
14,i want these are the days added to my spotlight spain 2016 playlist,AddToPlaylist
15,['i need these are the days Said to my spotlight anelka 2016 Seeqpod'],AddToPlaylist
16,i want to play the video game espn major league soccer,SearchCreativeWork
17,['i_realy want to play the video game brandon major relegation_struggler fastpitch_softball'],SearchCreativeWork
18,is the eye – infinity playing at general cinema corporation,SearchScreeningEvent
19,['wasn_`_t the cataract_glaucoma – infinity playing at Hossam_Sweilam_retired cinema corporation'],SearchScreeningEvent
20,add the song to my we everywhere playlist,AddToPlaylist
21,['add up the birdsong to my we everywhere playlist'],AddToPlaylist
22,tell me the weather forecast for june seventeenth  2034 in fl,GetWeather
23,"[""tell I'ma_masochist the cooler_wetter_weather forecast out june ###th 2034 in fl""]",GetWeather
24,add aprite le finestre to my this is earth  wind & fire playlist,AddToPlaylist
25,['add aprite le finestre to my this is earth wind & fire play list'],AddToPlaylist
26,play how does it work by helen carter,PlayMusic
27,['a play how does it work writing by herself helen carter'],PlayMusic
28,can i have the movie schedule for imax corporation,SearchScreeningEvent
29,['can i receive the picture show agenda for imax corporation'],SearchScreeningEvent
30,add circus to my post garage wave revival list,AddToPlaylist
31,"[""gussy circus to Why_couldn'tI post apartment wave revival list""]",AddToPlaylist
32,please look up and find me monty python live at the hollywood bowl,SearchCreativeWork
33,['please bet up and discover pine tree state monty python live at the hollywood bowl'],SearchCreativeWork
34,book a gluten free restaurant in arp,BookRestaurant
35,"[""al qur'an a gluten free eatery in arp""]",BookRestaurant
36,what is the forecast in nicodemus and nearby,GetWeather
37,['why is the FY##_EPS_guidance Moderate_Earthquake_Shakes nicodemus and nearby'],GetWeather
38,please play a sound track from the fifties that s on iheart,PlayMusic
39,"['Please play a soundtrack from the fifties, which can be found on iheart']",PlayMusic
40,can you bring up the movie schedule for arclight hollywood,SearchScreeningEvent
41,['can you bring upward the movie schedule for arclight hollywood'],SearchScreeningEvent
42,where is the closest cinema playing a drink in the passage,SearchScreeningEvent
43,['where is the third closest cinema playing him a drink in or the adjacent passage'],SearchScreeningEvent
44,add song in my playlist dance workout,AddToPlaylist
45,['Add song to my playlist Dance training'],AddToPlaylist
46,how much colder will it be not far from utah around 3 am,GetWeather
47,['how much colder will it evaluated_microscopically nor considerably from utah here 3 am'],GetWeather
48,tell me if it ll be freezing this year in id,GetWeather
49,['forget them if everyone ll willbe freezing this year in id'],GetWeather
50,find the closest starting now movie house with animated movies,SearchScreeningEvent
51,['find particular quietest journeyman_Josh_McCown now movie house with animated movies'],SearchScreeningEvent
52,show creativity of song a discord electric,SearchCreativeWork
53,['in show creativity of second song a discord while electric'],SearchCreativeWork
54,will it be colder in cut ma tomorrow,GetWeather
55,['Will it be colder on average tomorrow?'],GetWeather
56,add scarred to my this is zezé di camargo & luciano,AddToPlaylist
57,"[""insert torn to Iknew this It'sa zezé di camargo & luciano""]",AddToPlaylist
58,i want animated movies at mjr theatres,SearchScreeningEvent
59,['I want animated films in mjr theatres'],SearchScreeningEvent
60,table for 8 at a popular food court,BookRestaurant
61,['Table for 8 people on a popular food court'],BookRestaurant
62,what will the weather be in nationalpark rila on nov  25,GetWeather
63,['2018 what year will the weather event be in nationalpark rila on 2018 nov 25'],GetWeather
64,i want to hear a seventies sound track,PlayMusic
65,['I want to hear a soundtrack from the seventies'],PlayMusic
66,what will the weather be in ky on oct  16  2036,GetWeather
67,['what will the weather condition be in kentucky on october sixteen 2036'],GetWeather
68,can i get the movie schedule for loews cineplex entertainment,SearchScreeningEvent
69,['can i even get the final movie production schedule down for loews and cineplex entertainment'],SearchScreeningEvent
70,make me a reservation in south carolina,BookRestaurant
71,['i make such me make a reservation in south carolina'],BookRestaurant
72,play me hier encore by greydon square,PlayMusic
