,text,intent
0,what time is the corner playing,SearchScreeningEvent
1,rate the current series a one,RateBook
2,i would give this current chronicle three points,RateBook
3,can i get the showtimes for the kitchen toto at cineplex odeon corporation,SearchScreeningEvent
4,will there be a storm on christmas day in my current place,GetWeather
5,show me a picture of love,SearchCreativeWork
6,give 3 / 6 stars to the simon & schuster encyclopedia of dinosaurs and prehistoric creatures,RateBook
7,please let me know the weather forecast in louisiana state,GetWeather
8,i want to give this textbook four out of 6,RateBook
9,find a coffeehouse in illinois for three,BookRestaurant
10,i want a table for 8 in plain on aug  5,BookRestaurant
11,add curse song to my playlist guest list engadget,AddToPlaylist
12,show movie times for movies in the area,SearchScreeningEvent
13,find time for hendthighelbedi at the nearest cinema,SearchScreeningEvent
14,book tea at the hamburger wagon for 3 vickie reed  melody and i in georgia,BookRestaurant
15,rate alfred kropp: the thirteenth skull 3 out of 6,RateBook
16,give two star to as long as we both shall live book,RateBook
17,is it supposed to be chilly in de tonight,GetWeather
18,what s the weather far away in estonia,GetWeather
19,find a movie called no  1 in heaven,SearchCreativeWork
20,i give a rating of 3 to the ultimate resource,RateBook
21,i m looking for a soundtrack titled bowie at the beeb,SearchCreativeWork
22,add ik tara to laundry playlst,AddToPlaylist
23,i m looking for the game called summer of fear,SearchCreativeWork
24,book a restaurant for jul  27,BookRestaurant
25,give me the morning movie schedules,SearchScreeningEvent
26,show me the movie schedule for nearby movies,SearchScreeningEvent
27,find me a showing of the vanquished that starts nine hours and 1 second from now,SearchScreeningEvent
28,book a highly rated restaurant in central african republic for 5 people on sep  the second,BookRestaurant
29,use iheart to listen to retro,PlayMusic
30,book a food truck in mp for me and my ex husband,BookRestaurant
31,put do you love me on my acoustic soul playlist,AddToPlaylist
32,will it be rainy at 8 in dans mountain state park,GetWeather
33,find an album called burnout: the ultimate drag race challenge,SearchCreativeWork
34,add welcome to the cruel world to my reggae classics,AddToPlaylist
35,find the schedule for the nightmare six hours from now at the nearest cinema,SearchScreeningEvent
36,play the top-fifty theme songs by dennis brown,PlayMusic
37,use vimeo to play a mark king record from 1993,PlayMusic
38,book a table at a restaurant in lucerne valley that serves chicken nugget,BookRestaurant
39,i want to listen to born on the bayou on iheart,PlayMusic
40,i want a table for my grandson and i somewhere in arkansas,BookRestaurant
41,i didn t like the book nobody lives for ever  i give it a 2,RateBook
42,find partners in action at dickinson theatres,SearchScreeningEvent
43,add bronislau kaper to the drive playlist,AddToPlaylist
44,can you get the weather forecast for new baden,GetWeather
45,add name me & the rhythm to my chill out music,AddToPlaylist
46,give four out of 6 points to this essay,RateBook
47,what s the weather forecast for coats,GetWeather
48,play intense studying playlist on itunes,PlayMusic
49,book me a bar that s highly rated for georgia and i in burkina,BookRestaurant
50,rate definitely dead saga 5 points out of 6,RateBook
51,casey and i will be in kentucky for food,BookRestaurant
52,book a table for chasity and i in vanuatu,BookRestaurant
53,i d give the main-travelled roads series 0 points out of 6,RateBook
54,add heart like a hurricane to digster soul classics,AddToPlaylist
55,add artist to my phunkadelic playlist,AddToPlaylist
56,play me a song from the fourties,PlayMusic
57,put paula abdul on musica espa帽ola 2017,AddToPlaylist
58,find a video game called no parking on the dance floor,SearchCreativeWork
59,put this album on my conexiones list,AddToPlaylist
60,tell me the weather forecast for northern mariana islands one second from now,GetWeather
61,will it get cold in nevada seven weeks and a half from now,GetWeather
62,rate my current novel 0 out of 6 points,RateBook
63,give me the movie schedule for the great escape theatres,SearchScreeningEvent
64,give 5 out of 6 stars to coming home,RateBook
65,give 4 points to this textbook,RateBook
66,can you add something by gregori chad petree to the playlist digster soul classics,AddToPlaylist
67,what time is the burning season playing,SearchScreeningEvent
68,please add a song to ines s playlist called metal party,AddToPlaylist
69,is there going to be snowfall in alton,GetWeather
70,book me a top-rated pub,BookRestaurant
71,add hallucinations of despair to my this is trey songz playlist,AddToPlaylist
72,please book a restaurant for 45 weeks from now in fm,BookRestaurant
